Site,Plot,Collar,Distance_m,Tag,No_tag_species,No_tag_DBH,Species_code,DBH_cm,State,Date,Notes,BA_sqm
SERC,HSME,81,3.9,806,NA,NA,NA,7.8,Alive,4/13/2018,NA,0.004778362426110076
SERC,HSME,81,3.9,807,NA,NA,NA,9.8,Alive,4/13/2018,NA,0.0075429639612690945
SERC,HSME,81,7,817,NA,NA,LITU,66.1,Alive,4/13/2018,NA,0.34315695094977644
SERC,HSME,81,4.2,816,NA,NA,NA,17.5,Alive,4/13/2018,NA,0.02405281875404685
SERC,HSME,81,6.8,850,NA,NA,LITU,67.8,Alive,4/13/2018,NA,0.36103496934319257
SERC,HSME,81,7.5,851,NA,NA,NA,11.8,Dead,4/13/2018,NA,0.010935884027146072
SERC,HSME,81,6.5,849,NA,NA,FAGR,6.1,Alive,4/13/2018,NA,0.002922466566001905
SERC,HSME,81,8.5,839,NA,NA,LITU,34.5,Alive,4/13/2018,NA,0.09348201639838126
SERC,HSME,81,3.5,815,NA,NA,NA,3.3,Alive,4/13/2018,NA,8.552985999398212e-4
SERC,HSME,81,5.2,814,NA,NA,LITU,51.2,Alive,4/13/2018,NA,0.20588741614566067
SERC,HSME,81,7,813,NA,NA,CACA,4.5,Alive,4/13/2018,NA,0.0015904312808798326
SERC,HSME,81,9.1,812,NA,NA,LITU,64.2,Alive,4/13/2018,NA,0.3237128486185459
SERC,HSME,81,7.8,810,NA,NA,NA,35.8,Alive,4/13/2018,NA,0.10065977021367056
SERC,HSME,81,6.5,809,NA,NA,FAGR,23.3,Alive,4/13/2018,NA,0.04263848089268407
SERC,HSME,81,3.2,808,NA,NA,NA,24.9,Alive,4/13/2018,NA,0.04869547152880519
SERC,HSME,81,8.5,801,NA,NA,QU??,25,Alive,4/13/2018,NA,0.04908738521234052
SERC,HSME,81,8.5,802,NA,NA,NA,45.3,Alive,4/13/2018,NA,0.16117077171262695
SERC,HSME,81,5.6,803,NA,NA,NA,21.7,Alive,4/13/2018,NA,0.03698361411622244
SERC,HSME,81,5.6,811,NA,NA,NA,4.6,Dead,4/13/2018,Check this,0.0016619025137490004
SERC,HSME,81,8.3,804,NA,NA,NA,20.3,Alive,4/13/2018,NA,0.03236547291544545
SERC,HSHE,88,2.1,931,NA,NA,ACRU,33.7,Alive,4/13/2018,NA,0.08919688401888481
SERC,HSHE,88,5.7,932,NA,NA,LITU,56.9,Alive,4/13/2018,NA,0.2542812947797212
